the fool,naivety and opitmism,the reversed fool,carelessness and vanity
the magician,skill and diplomacy,the reversed magician,mental illness and disgrace
the high priestess,wisdom and secrets,the reversed high priestess,conceit and surface knowledge
the empress,initiative and action,the reversed empress,indecision and doubt
the emperor,stability and power,the reversed emperor,compassion and immaturity
the hierophant,captivity and servitude,the reversed hierophant,kindness being exploited and weakness
the lovers,attraction and love,the reversed lovers,romantic failure and imbalance with loved ones
the chariot,triumph and vengeance,the reversed chariot,quarrels and defeat
strength,energy and courage,reversed strength,a cruel abuse of power
the hermit,caution and concealment,the reversed hermit,fear and concealment
wheel of fate,destiny and luck,reversed wheel of fate,abundance and success
justice,equality and rightousness,reversed justice,bigotry and bias
the hanged man,wisdom and intuition,the reversed hanged man,selfishness and ego
death,endings and rebirth,reversed death,inertia and lethargy
temperence,moderation and frugality,reversed temperence,religion and faith
the devil,violence and fatality,the reversed devil,evil and pettiness
the tower,misery and distress,the reversed tower,opression and calamity
the star,loss and theft,the reversed star,arrogance and helplessness
the moon,hidden enemies and deception,the reversed moon,inconsistency and error
the sun,material happiness and contentment,the reversed sun,contentment
judgment,understanding and renewal,reversed strength,cowardice in decision making
the world,travel and emigration,the reversed world,stagnation and inertia
